Description,Price,Stars,Reviews,Url
"6 BLADE 2IN1 MANUAL FOOD CHOPPER, COMPACT &...",Rs. 90.00,4.70,27 reviews,https://deodap.in/products/2065_6blade_1000ml_chopper
Makeup Cutlery Box Girl.,Rs. 61.00,4.61,41 reviews,https://deodap.in/products/0360-makeup-cutlery-box-girl
water spray nozzle for water pipe booster nozzle...,Rs. 65.00,4.45,49 reviews,https://deodap.in/products/7588_golden_water_spray_gun
Shoe Cleaning Wet Wipes (80 Pack) - Travel...,Rs. 57.00,4.74,23 reviews,https://deodap.in/products/wet-wipes-shoe-cleaning
1 Pc Wallmount Mobile Stand With Hook Design...,Rs. 18.00,4.13,47 reviews,https://deodap.in/products/wallmount-mobile-stand-hook-design-phone-holder
Premium Grey Oval Bathroom Floor Mat – Anti-Slip...,Rs. 78.00,4.60,10 reviews,https://deodap.in/products/premium-grey-oval-bathroom-floor-mat-anti-slip-soft-microfiber-bath-rug-for-home-hotel-spa-quick-dry-water-absorbent-washable-bathroom-mat-with-non-skid-rubber-backing-modern-minimalist-design
Non Wooven Fabric Disposable Handy Wipe Cleaning Cloth...,Rs. 61.00,4.18,34 reviews,https://deodap.in/products/1601-non-wooven-fabric-disposable-handy-wipe-cleaning-cloth-roll-1pc-1
"Water Faucet, Clean Purifier Filter Cartridge Water Tap,...",Rs. 39.00,4.31,29 reviews,https://deodap.in/products/9092_6layer_fine_fliter_faucet
"Garden Shears Pruners Scissor for Cutting Branches, Flowe...",Rs. 62.00,4.13,30 reviews,https://deodap.in/products/0465a-garden-shears-pruners-scissor-for-cutting-branches-flowers-leaves-pruning-seeds
Premium 6 Piece LED Flameless Candle Light Set...,Rs. 84.00,0.00,No reviews,https://deodap.in/products/premium-6-piece-led-flameless-candle-light-set-with-remote-control
Spatula and Pastry Brush for Cake Decoration,Rs. 13.00,4.64,14 reviews,https://deodap.in/products/2170-spatula-and-pastry-brush-for-cake-mixer
Eye Mask with Ice Pack Sleeping Mask for...,Rs. 72.00,4.83,24 reviews,https://deodap.in/products/1318-eye-mask-with-ice-pack-sleeping-mask-for-travelling
Metal Universal Mobile & Tablet Stand Holder -...,Rs. 47.00,4.60,10 reviews,https://deodap.in/products/universal-mobile-tablet-stand-holder-1-pc
"Microfiber Car Wash Glove Mitt For Car,Bike,Home &...",Rs. 38.00,4.70,20 reviews,https://deodap.in/products/microfiber-car-wash-glove-mitt-for-car-bike-home-surface
"kinoki Cleansing Detox Foot Pads, Ginger & salt...",Rs. 32.00,3.96,26 reviews,https://deodap.in/products/644-kinoki-cleansing-detox-foot-pads-ginger-salt-foot-patch-10pcs-free-size-white
Metallic Travel Makeup Pouch - (1 Pc),Rs. 76.00,4.70,10 reviews,https://deodap.in/products/metallic-travel-makeup-pouch-1-pc
Electric Vibrating Massager Comb Hair Brush Comb massager...,Rs. 59.00,4.60,55 reviews,https://deodap.in/products/6174-electric-vibrating-massager-comb-hair-brush-comb-massager
Lunch Box Bag for Women Men Insulated Lunch...,Rs. 57.00,4.50,36 reviews,https://deodap.in/products/lunch-box-bag-for-women-men-insulated-lunch-bag-with-zipper-1-pc-1
